retry_id,original_event_id,retry_attempt,retry_status,retry_time
c03a3221-4a90-4491-86ad-eb50f3ce79e3,6428af35-e598-42e0-a172-7df2f31aefb8,2,success,2025-01-01 00:22:00+00:00
d4710ac8-bf37-4335-8dfc-73d1923b0171,7b97693f-a2d8-40af-a606-7c0a26518753,1,success,2025-01-01 03:14:00+00:00
956d4451-e5bc-4189-87b7-7037a261a35e,caaf28fc-e255-4b76-82a0-4dfcbeb77667,1,failed,2025-01-01 08:18:00+00:00
52853b14-ce1f-42e6-8f21-0d62da337c16,be0d2791-fa8e-458b-8587-65510c028f9d,3,failed,2025-01-01 10:47:00+00:00
589f9df9-a5c4-4030-8c6e-166262c08f7c,0b0ff04c-9ea9-4ab6-9100-6dee78cfa397,3,failed,2025-01-01 13:16:00+00:00
105402f7-444b-4617-9857-b80e4c303856,e6623af9-e92a-46b5-b293-e1b0004a497d,3,success,2025-01-01 17:19:00+00:00
3fda5076-cca1-4d09-bdcb-02edbc6f5247,7861dceb-583b-47d6-930a-f5d112e902bb,3,success,2025-01-01 17:53:00+00:00
a64fe62d-ccba-4b5b-b694-47e9657ef999,bf48fd15-d671-4bc3-a631-62f774837319,1,failed,2025-01-01 18:11:00+00:00
23fe71ec-bc0a-4cc8-8278-fcfce03285a3,aec6a741-c51a-4e5c-92ea-32f68f332cf9,3,failed,2025-01-01 18:13:00+00:00
dd09d2dd-e161-454d-a9ba-a1982520096b,d6c8bfa2-5fdb-4c7e-bf06-efe70b4084c0,3,success,2025-01-01 19:06:00+00:00
e8574b06-bb4b-4423-bd39-985a30433155,9488289b-e51a-405c-a0b4-60d214e526e4,2,failed,2025-01-01 22:11:00+00:00
39f7ce2a-de9f-4d43-8c87-f042912791fb,9488289b-e51a-405c-a0b4-60d214e526e4,2,failed,2025-01-01 22:28:00+00:00
82850813-2cf0-47b9-91eb-9032a180ad2d,a1136698-d33d-4ba1-a12a-e5628732b786,2,success,2025-01-02 02:05:00+00:00
a64bacb6-98c3-4343-848b-2df1fe92e107,8646328a-c6f6-4752-83db-5696502dc216,1,success,2025-01-02 06:15:00+00:00
6765fe84-bd23-4081-885b-9579ab35b2cd,ace1bfa6-815d-4f70-a2c6-8446f2aa707e,3,failed,2025-01-02 12:54:00+00:00
69849ba9-a356-40e1-bf29-736cbe0545ee,c44f0062-e190-4ac3-a275-878d0d4fee64,2,failed,2025-01-02 13:59:00+00:00
1b5be0a9-6e5d-4957-a997-b84df10cf8eb,4de49e16-4261-48bd-a5ca-74c0535db9e9,2,success,2025-01-02 15:16:00+00:00
02d45234-9ab6-4dc0-a1b8-17098ae5c879,65b76f9a-7b55-4af3-8a68-d85c78dde456,1,failed,2025-01-02 15:29:00+00:00
bc6aa299-4098-41ab-b2cd-dc1d8741f67f,eeae2dcd-ef1d-401d-a95c-28a5a19c58ab,2,failed,2025-01-02 16:23:00+00:00
